电影名,导演,评分,评价人数,评价
海蒂和爷爷,"
                            导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...",9.3,521074人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
天堂电影院,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...",9.2,641559人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
罗马假日,"
                            1988 / 意大利 法国 / 剧情 爱情
                        ",9.1,894242人评价,爱情哪怕只有一天。
黑客帝国,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...",9.1,783342人评价,视觉革命。
指环王1：护戒使者,"
                            1953 / 美国 / 喜剧 剧情 爱情
                        ",9.1,787221人评价,传说的开始。
大闹天宫,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...",9.4,397935人评价,经典之作，历久弥新。
死亡诗社,"
                            1999 / 美国 / 动作 科幻
                        ",9.1,659781人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
教父2,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",9.3,507004人评价,优雅的孤独。
绿皮书,"
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ",8.9,1510811人评价,去除成见，需要勇气。
辩护人,"
                            导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...",9.2,553523人评价,电影的现实意义大过电影本身。
狮子王,"
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装
                        ",9.1,776813人评价,动物版《哈姆雷特》。
搏击俱乐部,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...",9.0,791690人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
饮食男女,"
                            1989 / 美国 / 剧情
                        ",9.2,570073人评价,人生不能像做菜，把所有的料都准备好了才下锅。
美丽心灵,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",9.1,717112人评价,爱是一切逻辑和原由。
本杰明·巴顿奇事,"
                            1974 / 美国 / 剧情 犯罪
                        ",9.0,919402人评价,在时间之河里感受溺水之苦。
窃听风暴,"
                            导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...",9.2,525918人评价,别样人生。
穿条纹睡衣的男孩,"
                            2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐
                        ",9.2,513226人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...",8.9,1012510人评价,暗恋的极致。
两杆大烟枪,"
                            2013 / 韩国 / 剧情
                        ",9.1,558674人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...",8.9,910562人评价,美丽无罪。
看不见的客人,"
                            1994 / 美国 / 动画 冒险 歌舞
                        ",8.8,1163223人评价,你以为你以为的就是你以为的。
音乐之声,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...",9.1,559256人评价,用音乐化解仇恨，让歌声串起美好。
拯救大兵瑞恩,"
                            1999 / 美国 德国 意大利 / 剧情 动作 悬疑 惊悚
                        ",9.1,603706人评价,美利坚精神输出大片No1.
飞越疯人院,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...",9.1,517336人评价,自由万岁。
小鞋子,"
                            1994 / 中国台湾 美国 / 剧情 家庭
                        ",9.2,380192人评价,奔跑的孩子是天使。
阿凡达,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...",8.8,1291460人评价,绝对意义上的美轮美奂。
哈利·波特与死亡圣器(下),"
                            导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...",8.9,761101人评价,10年的完美句点。
沉默的羔羊,"
                            2011 / 美国 英国 / 奇幻 冒险
                        ",8.9,818899人评价,安东尼·霍普金斯的顶级表演。
致命魔术,"
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...",8.9,800274人评价,孪生蝙蝠侠大战克隆金刚狼。
禁闭岛,"
                            1991 / 美国 / 剧情 犯罪 惊悚
                        ",8.9,900319人评价,昔日翩翩少年，今日大腹便便。
布达佩斯大饭店,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...",8.9,854759人评价,小清新的故事里注入了大历史的情怀。
海豚湾,"
                            2006 / 英国 美国 / 剧情 悬疑 惊悚
                        ",9.3,341216人评价,海豚的微笑，是世界上最高明的伪装。
蝴蝶效应,"
                            导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...",8.9,872306人评价,人的命运被自己瞬间的抉择改变。
美国往事,"
                            2010 / 美国 / 剧情 悬疑 惊悚
                        ",9.2,385103人评价,往事如烟，无处祭奠。
心灵捕手,"
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...",8.9,659509人评价,人生中应该拥有这样的一段豁然开朗。
低俗小说,"
                            2014 / 美国 德国 英国 / 剧情 喜剧 冒险
                        ",8.9,774973人评价,故事的高级讲法。
春光乍泄,"
                            导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...",9.0,586585人评价,爱情纠缠，男女一致。
摩登时代,"
                            2009 / 美国 / 纪录片
                        ",9.3,276894人评价,大时代中的人生，小人物的悲喜。
喜剧之王,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...",8.8,898895人评价,我是一个演员。
七宗罪,"
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
                        ",8.8,888815人评价,警察抓小偷，老鼠玩死猫。
功夫,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...",8.8,1015126人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
哈利·波特与阿兹卡班的囚徒,"
                            1984 / 美国 意大利 / 犯罪 剧情
                        ",8.9,651563人评价,不一样的导演，不一样的哈利·波特。
致命ID,"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...",8.8,758325人评价,最不可能的那个人永远是最可能的。
